信用力（しんようりょく）- 信用力
売買代金（ばいばいだいきん）- 交易金额
決済日（けっさいび）- 结算日
到期日（とうきび）- 到期日
信用取引残高（しんようとりひきざんだか）- 信用交易余额
売買手数料（ばいばいてすうりょう）- 交易手续费
約定日（やくていび）- 约定日
元本（もとぼん）- 本金
高値（たかね）- 最高价
安値（やすね）- 最低价
売り注文（うりちゅうもん）- 卖出委托
買い注文（かいちゅうもん）- 买入委托
現物取引（げんぶつとりひき）- 现货交易
公開買い付け（こうかいかいつけ）- 公开收购
証券会社（しょうけんがいしゃ）- 证券公司
機関投資家（きかんとうしか）- 机构投资者
投資信託（とうししんたく）- 投资信托
債券（さいけん）- 债券
公社債（こうしゃさい）- 公司债券
新規公開株（しんきこうかいかぶ）- 新股发行
売り建玉（うりたてがたま）- 卖出未平仓合约
買い建玉（かいたてがたま）- 买入未平仓合约
信用取引限度額（しんようとりひきげんどがく）- 信用交易限额
終値（しゅうね）- 收盘价
開始値（かいしいた）- 开盘价
前日比（ぜんじつひ）- 相对前一日涨跌幅
売り気配（うりきばい）- 卖方盘口
買い気配（かいきばい）- 买方盘口
売り板（うりいた）- 卖盘
買い板（かいいた）- 买盘
貸借銘柄（かしじゃくめいがら）- 借贷标的
個人投資家（こじんとうしか）- 个人投资者
売買高（ばいばいだか）- 交易量
時価総額（じかそうがく）- 市值
信用取引制度（しんようとりひきせいど）- 信用交易制度
証拠金（しょうこきん）- 保证金
券面価格（けんめんかかく）- 债券面值
発行価格（はっこうかかく）- 发行价格
IPO（アイピー・オー）- 首次公开募股
信用評価（しんようひょうか）- 信用评级
株主総会（かぶぬしそうかい）- 股东大会
証券取引所上場（しょうけんとりひきじょじょうじょう）- 证券交易所上市
運用成績（うんようせいせき）- 投资业绩
売買サイン（ばいばいサイン）- 买卖信号
資産運用（しさんうんよう）- 资产管理
公開市場（こうかいしじょう）- 公开市场
高値探し（たかねさがし）- 寻找高位
安値探し（やすねさがし）- 寻找低位
ロングポジション（ロングポジション）- 多头持仓
ショートポジション（ショートポジション）- 空头持仓
ストップロス注文（ストップロスちゅうもん）- 止损委托
リミット注文（リミットちゅうもん）- 限价委托
マーケットメーカー（マーケットメーカー）- 市场做市商
スプレッド（スプレッド）- 买卖价差
確定申告（かくていしんこく）- 确定申报
証券会社口座（しょうけんがいしゃこうざ）- 证券公司账户
デリバティブ（デリバティブ）- 衍生品
公募増資（こうぼぞうし）- 公开增发
買収（ばいしゅう）- 收购
自己株（じこかぶ）- 自家股
信用取引残高（しんようとりひきざんだか）- 信用交易余额
プットオプション（プットオプション）- 看跌期权
コールオプション（コールオプション）- 看涨期权
債務超過（さいむちょうか）- 负债超过
インサイダー取引（インサイダーとりひき）- 内幕交易
利回り（りがいり）- 收益率
ボラティリティ（ボラティリティ）- 波动性
上場廃止（じょうじょうはいし）- 退市
株式分割（かぶしきぶんかつ）- 股票分割
売買停止（ばいばいていし）- 停牌
貸借取引（かしじゃくとりひき）- 借贷交易
ハイパーリンク（ハイパーリンク）- 超链接
積立投資（つみたてとうし）- 定期投资
クロス取引（クロスとりひき）- 交叉交易
損切り（そんぎり）- 止损
利益確定（りえきかくてい）- 止盈
初値（しょち）- 首次交易价
自動売買（じどうばいばい）- 自动交易
マーケットオーダー（マーケットオーダー）- 市价订单
証券コード（しょうけんコード）- 证券代码
デイトレード（デイトレード）- 日内交易
ウォッチリスト（ウォッチリスト）- 自选股列表
証券取引税（しょうけんとりひきぜい）- 证券交易税
約定金額（やくていきんがく）- 成交金额
信用貸借（しんようかしじゃく）- 信用借
